Age,Gender,SATIS,EXHI,Time,Budget,Person,Jurney,Visit
32,1,3,2,4,30,2,40,1
48,1,4,2,6,60,3,60,5
75,2,4,3,6,50,2,15,15
64,1,5,2,7,100,4,50,20
34,1,2,2,2,10,1,10,0
16,1,1,1,5,5,1,30,0
28,2,4,2,3,7,1,20,1
58,1,4,3,4,55,2,90,20
55,2,5,2,8,70,2,20,10
68,2,5,2,3,25,2,80,8
70,2,4,1,5,40,2,30,30
20,2,2,2,1,3,1,25,0
19,1,3,2,3,10,1,30,1
25,1,3,1,4.5,20,1,15,2
42,2,4,3,6,100,5,25,7
30,1,5,2,4,38,2,10,3
29,2,4,2,3,15,1,45,2
59,1,3,3,5.5,150,6,50,20
41,1,4,1,3,45,3,60,4
67,1,5,3,6,30,1,30,15
