Aircraft_Age,Flight_Hours,Fuel_Consumption,Crew_Size,Maintenance_Cost,Distance_Flown,Operating_Cost
7,2504.391549083848,5036.961544665812,3,695509.2220115183,695801.0149810412,3022564.2260925816
20,2424.202471887338,4789.533140781614,10,622182.1678841027,214632.89381071902,2194366.558705588
15,1184.4347367726639,6310.950686365515,4,385962.80505514186,780910.4488991525,3164577.152040739
11,4047.8216698994843,6445.655556073507,10,753056.6469699682,634819.081091023,29589874.019211896
8,3513.3951161443074,2317.1280684043118,9,793650.6335201734,135678.4444402976,1854720.4334368545
21,1257.3937562499468,4622.288302385299,4,243501.26703726608,474332.4649749204,699808.054917726
7,2393.232321183057,6381.019409999654,8,365460.00947466027,789025.484181301,4321675.270003891
19,5541.3294298332685,5521.953810060613,8,748514.5965127979,403299.0895203608,24957922.278108317
23,2197.809453334862,7995.428888318256,5,605117.5855258941,186580.35411618743,3703097.6463505235
11,1724.4743604561154,6610.855421332615,4,133666.25077486137,413583.77536275965,967012.6861233091
11,3447.263801387815,3140.5409895700077,3,647060.1372259904,434343.2419114412,4205973.305395775
24,5928.252270553004,2493.981231803009,8,679558.6210242443,606265.2081714992,13392538.847634595
21,2210.276357557502,6496.93494744421,7,625351.3473357195,574134.3898706783,6005515.850949017
4,4360.677737029393,2185.579173791353,11,659675.9916436609,351912.5326977354,2816435.9065158623
8,4808.098076643588,6100.429068914243,3,677592.8736849581,213517.33062056487,11522608.078453682
24,2188.1877199619985,8581.611689974703,9,230483.49075170088,533790.6258269971,6089782.495721063
3,4641.081743059298,6028.319245131153,7,264984.22224549984,366277.95091496134,4196570.092965233
22,2838.9156635962663,4717.189483445653,7,543630.994604124,149207.15834399778,2053220.2564864315
21,4161.529152967898,6503.017529096473,4,735506.2913237612,725429.2259272892,29480732.941018775
2,4167.6485538044735,5207.770233440617,5,321337.60760754626,568416.3932072408,2535397.79473468
24,3678.873420373792,5819.317525211545,9,511814.6730565397,562387.892334111,11152822.134693297
12,1451.4488502720415,8590.253661435676,8,578087.4443919926,666937.9069337555,4103880.338436323
6,5176.51247794619,4702.718464605419,4,416364.0209093275,447246.2589913108,7101730.181911958
2,2603.900324858679,8728.3339467674,8,599647.7183987282,661290.8213018428,14127182.359274948
21,1932.592551999271,8337.454493692447,4,729767.2117045212,423568.0651332543,11345491.979371747
1,1203.8757077738196,3370.537943525075,4,536871.0809272863,100381.54993678257,428018.12919252337
12,3954.464715941209,2485.5291061261582,4,477846.7433402431,353936.06602076656,2866268.4321860713
22,4387.821809211412,2705.4460096419866,5,407121.27277183736,423098.67048491794,5442961.408502476
12,1082.9391446392808,2127.552779560848,4,504240.389634288,590151.9362242218,507860.6295648837
17,3560.465291496405,2661.1007252914987,6,348753.7162728771,129934.04759650577,1124954.4297883478
10,2132.47887598969,6781.047413914498,11,374037.4771410513,155013.90399533673,2652297.585004668
16,4225.86395204725,2498.3205392216028,8,472300.23578172177,247762.85197596232,2316044.715862715
15,1871.8321450249573,4232.82941205633,3,146633.3786735719,249873.79502816166,461823.4247523938
15,4454.68869051233,7914.127176786182,10,260317.77364735745,599138.4338442967,13087548.557459824
19,2933.6767315026873,2162.903550150781,9,479994.5174293862,238047.9954211983,2132243.912214793
12,5683.649943683673,7701.27937812255,5,402069.7001955098,524823.5475180857,28463759.282643832
23,1687.6047207299662,3972.9834234137998,3,332971.050138739,420705.38760370354,815949.9884924137
20,2705.3317552512926,2827.153793351594,7,611384.3957665111,479970.78363455046,1251396.06037591
3,1567.3676062029454,6877.160157549055,6,585602.3251823368,678580.2223837218,2351350.965114498
5,5623.468091392814,6402.599927459188,10,216711.5319953682,353286.1261617682,11353997.979264408
19,5386.696766904905,8142.304094689371,3,715040.3807614067,628183.5327982028,29323943.390291475
7,2289.7081385757783,7145.4973066272005,3,446796.53848277597,366527.0446630155,2993254.3497596895
21,4299.920230170896,7624.36651269394,6,619022.6377973318,315403.5324209371,13857372.309502661
9,5086.111001006079,3974.2420079991452,10,501205.5944801721,768970.3829849154,10958885.194639906
7,3776.0040579973115,3242.0768064580598,7,798384.8311466903,188278.19050922242,3804278.829818411
18,3648.2528917800323,7254.3032614860085,4,626682.1840271759,117752.7204332059,8552053.575104289
4,2209.2614545022584,7647.843174870848,8,594886.3228704213,628239.4441516089,5946957.533495704
14,1465.513839029496,8933.535994004713,7,645000.3573355258,101187.2790155687,4534313.740763422
18,5486.078789766634,4888.323738379986,4,200189.5898839287,677809.243027272,6372658.799745761
9,5502.090285816652,4604.126600549482,5,243181.2152186243,377895.0472679326,5651964.151186107
21,4165.507286366339,7434.890725193978,11,599844.8575565299,736635.2579689355,36793950.55444319
2,2695.148955243503,4385.624781771125,9,445787.04099160386,591149.6458414292,1674863.9722452501
20,2746.0478730633045,8515.301279224954,9,628244.7043020816,507803.5002559682,15081812.582300572
15,4629.778394351197,8008.8892629010825,8,172041.2215209015,761980.0977933243,15756507.858413521
7,5485.551299762886,5002.958191625128,10,475536.9460392163,347487.0297890407,11163575.097916255
12,5435.432121325586,7256.097474540482,6,365175.095889841,765565.2024047248,23491591.395074066
8,4899.377729288119,7281.800118592776,10,419900.15349717485,151250.9580659052,10689488.81315804
15,4210.158230771439,2721.8670818515284,6,522770.51045075874,412816.20644930954,3435778.4249037807
3,1420.6998249752442,8317.870346756967,10,451601.8432237711,252433.41679414618,3526637.0490543535
14,1808.1435704730688,5536.7666071349995,11,477902.4459789857,454882.08418114507,2788593.507390306
17,5492.770942635396,7785.202262754191,5,440450.23739692545,171510.40841868846,20807873.204326823
4,4032.1452982979495,4240.347207214282,5,386268.6239598453,681147.2452325325,4499377.704211376
18,1045.9852580831482,8268.662599473402,4,640317.3864187716,684805.8869859179,3493088.9169985373
8,1507.3577143301604,4724.411751139141,5,108542.15062263116,766427.2345426092,984983.2143707343
4,4317.508845540279,2075.8635603620887,5,518909.89084365894,166004.10566242714,1795769.7526345558
2,1025.3079192310934,8337.673834934845,7,495855.8431260817,517499.41317874304,2269933.009054147
6,1804.0402570874933,2639.006737502935,7,601325.3523130666,405677.9815252772,1170180.4861294774
22,3743.6689468329305,4235.1954631329045,4,519320.5553441285,308287.79903317493,3367704.10465265
10,4459.475988463466,8650.433769355634,8,678759.1794663548,313655.1208506641,24904274.061027035
4,4259.806297513003,8654.250028562892,7,771352.3561948194,359595.1629550642,22557047.14475181
22,2121.346547302799,6014.065216863002,8,339766.9800249804,578694.1622667147,3398078.4636907084
18,4560.8961067376795,6422.860485188595,3,259145.6881209909,498714.54370111594,5598301.651783299
