Aircraft_Age,Flight_Hours,Fuel_Consumption,Crew_Size,Maintenance_Cost,Distance_Flown,Operating_Cost
7,2504.391549083848,5036.961544665812,3,695509.2220115183,695801.0149810412,2166208.9215937
20,2424.202471887338,4789.533140781614,10,622182.1678841027,214632.89381071902,2371263.478184282
15,1184.4347367726639,6310.950686365515,4,385962.80505514186,780910.4488991525,1609291.400518016
11,4047.8216698994843,6445.655556073507,10,753056.6469699682,634819.081091023,2480831.321960329
8,3513.3951161443074,2317.1280684043118,9,793650.6335201734,135678.4444402976,2350337.2646559854
21,1257.3937562499468,4622.288302385299,4,243501.26703726608,474332.4649749204,1534438.0568902048
7,2393.232321183057,6381.019409999654,8,365460.00947466027,789025.484181301,1860258.1500922034
19,5541.3294298332685,5521.953810060613,8,748514.5965127979,403299.0895203608,2543090.511288198
23,2197.809453334862,7995.428888318256,5,605117.5855258941,186580.35411618743,2033182.5152474754
11,1724.4743604561154,6610.855421332615,4,133666.25077486137,413583.77536275965,1488988.547520127
11,3447.263801387815,3140.5409895700077,3,647060.1372259904,434343.2419114412,2058924.3597076843
24,5928.252270553004,2493.981231803009,8,679558.6210242443,606265.2081714992,2454797.6449103053
21,2210.276357557502,6496.93494744421,7,625351.3473357195,574134.3898706783,2302660.591646484
4,4360.677737029393,2185.579173791353,11,659675.9916436609,351912.5326977354,2279640.084358186
8,4808.098076643588,6100.429068914243,3,677592.8736849581,213517.33062056487,2208608.119094986
24,2188.1877199619985,8581.611689974703,9,230483.49075170088,533790.6258269971,1813685.6845564526
3,4641.081743059298,6028.319245131153,7,264984.22224549984,366277.95091496134,1669113.2828346293
22,2838.9156635962663,4717.189483445653,7,543630.994604124,149207.15834399778,2138614.4441507147
21,4161.529152967898,6503.017529096473,4,735506.2913237612,725429.2259272892,2530019.909437269
2,4167.6485538044735,5207.770233440617,5,321337.60760754626,568416.3932072408,1883052.1528378131
24,3678.873420373792,5819.317525211545,9,511814.6730565397,562387.892334111,2190090.88210063
12,1451.4488502720415,8590.253661435676,8,578087.4443919926,666937.9069337555,2234411.367214854
6,5176.51247794619,4702.718464605419,4,416364.0209093275,447246.2589913108,1934150.1617850554
2,2603.900324858679,8728.3339467674,8,599647.7183987282,661290.8213018428,2195732.519566694
21,1932.592551999271,8337.454493692447,4,729767.2117045212,423568.0651332543,2268389.6275523175
1,1203.8757077738196,3370.537943525075,4,536871.0809272863,100381.54993678257,1743864.7085172266
12,3954.464715941209,2485.5291061261582,4,477846.7433402431,353936.06602076656,1799733.648460057
22,4387.821809211412,2705.4460096419866,5,407121.27277183736,423098.67048491794,1735915.3799925887
12,1082.9391446392808,2127.552779560848,4,504240.389634288,590151.9362242218,1847893.238436911
17,3560.465291496405,2661.1007252914987,6,348753.7162728771,129934.04759650577,1636802.5932636578
10,2132.47887598969,6781.047413914498,11,374037.4771410513,155013.90399533673,1847736.225738196
16,4225.86395204725,2498.3205392216028,8,472300.23578172177,247762.85197596232,1921717.3477821527
15,1871.8321450249573,4232.82941205633,3,146633.3786735719,249873.79502816166,1378135.0927044416
15,4454.68869051233,7914.127176786182,10,260317.77364735745,599138.4338442967,1857243.6123797991
19,2933.6767315026873,2162.903550150781,9,479994.5174293862,238047.9954211983,1878255.3409205053
12,5683.649943683673,7701.27937812255,5,402069.7001955098,524823.5475180857,1987840.448108627
23,1687.6047207299662,3972.9834234137998,3,332971.050138739,420705.38760370354,1786441.5836831564
20,2705.3317552512926,2827.153793351594,7,611384.3957665111,479970.78363455046,2179572.960467022
3,1567.3676062029454,6877.160157549055,6,585602.3251823368,678580.2223837218,1962885.1484095647
5,5623.468091392814,6402.599927459188,10,216711.5319953682,353286.1261617682,1630074.6680130144
19,5386.696766904905,8142.304094689371,3,715040.3807614067,628183.5327982028,2415001.974311184
7,2289.7081385757783,7145.4973066272005,3,446796.53848277597,366527.0446630155,1729606.739436317
21,4299.920230170896,7624.36651269394,6,619022.6377973318,315403.5324209371,2142366.491678462
9,5086.111001006079,3974.2420079991452,10,501205.5944801721,768970.3829849154,2132930.5888496907
7,3776.0040579973115,3242.0768064580598,7,798384.8311466903,188278.19050922242,2388881.792528651
18,3648.2528917800323,7254.3032614860085,4,626682.1840271759,117752.7204332059,2180773.1134108896
4,2209.2614545022584,7647.843174870848,8,594886.3228704213,628239.4441516089,2298357.1145299906
14,1465.513839029496,8933.535994004713,7,645000.3573355258,101187.2790155687,2164595.195829189
18,5486.078789766634,4888.323738379986,4,200189.5898839287,677809.243027272,1503144.4634920007
9,5502.090285816652,4604.126600549482,5,243181.2152186243,377895.0472679326,1580145.2494603803
21,4165.507286366339,7434.890725193978,11,599844.8575565299,736635.2579689355,2514124.982665221
2,2695.148955243503,4385.624781771125,9,445787.04099160386,591149.6458414292,1953377.5023996495
20,2746.0478730633045,8515.301279224954,9,628244.7043020816,507803.5002559682,2406708.9645639053
15,4629.778394351197,8008.8892629010825,8,172041.2215209015,761980.0977933243,1605724.2474392138
7,5485.551299762886,5002.958191625128,10,475536.9460392163,347487.0297890407,2135461.795016458
12,5435.432121325586,7256.097474540482,6,365175.095889841,765565.2024047248,2000917.778676249
8,4899.377729288119,7281.800118592776,10,419900.15349717485,151250.9580659052,1887482.6560085285
15,4210.158230771439,2721.8670818515284,6,522770.51045075874,412816.20644930954,1985447.0136892125
3,1420.6998249752442,8317.870346756967,10,451601.8432237711,252433.41679414618,2134174.631713415
14,1808.1435704730688,5536.7666071349995,11,477902.4459789857,454882.08418114507,1920116.076474858
17,5492.770942635396,7785.202262754191,5,440450.23739692545,171510.40841868846,1775880.3182388514
4,4032.1452982979495,4240.347207214282,5,386268.6239598453,681147.2452325325,1912131.40999239
18,1045.9852580831482,8268.662599473402,4,640317.3864187716,684805.8869859179,2318251.3706485797
8,1507.3577143301604,4724.411751139141,5,108542.15062263116,766427.2345426092,1351809.916840029
4,4317.508845540279,2075.8635603620887,5,518909.89084365894,166004.10566242714,1868021.1923210842
2,1025.3079192310934,8337.673834934845,7,495855.8431260817,517499.41317874304,1790930.4585930964
6,1804.0402570874933,2639.006737502935,7,601325.3523130666,405677.9815252772,2022438.0964179866
22,3743.6689468329305,4235.1954631329045,4,519320.5553441285,308287.79903317493,2104728.6526112678
10,4459.475988463466,8650.433769355634,8,678759.1794663548,313655.1208506641,2325169.516463754
4,4259.806297513003,8654.250028562892,7,771352.3561948194,359595.1629550642,2640878.247088116
22,2121.346547302799,6014.065216863002,8,339766.9800249804,578694.1622667147,1844278.009413888
18,4560.8961067376795,6422.860485188595,3,259145.6881209909,498714.54370111594,1699078.0338040534
12,2186.2454374840004,5139.118653848238,7,396517.803694338,394761.1345708483,1737689.196768906
2,2626.998490796339,4052.475401886452,11,301550.7315330083,106950.05777721657,1630702.703871709
10,4732.457025590121,4300.651817589412,4,530465.184206858,108324.0080592178,1754990.8334235912
4,4248.164495236073,6707.629192539269,3,738296.6861900752,51754.54296933369,2189714.9478905355
14,5246.11705247089,7266.62170606376,11,197381.3359001433,775774.5411553149,1877922.8314000978
16,4288.064461501717,7541.053306080939,11,170556.22211112053,53940.36391878869,1554968.087365391
15,3841.543016677358,7527.3269995618775,11,279210.8722975636,127320.30951030867,1698342.8399633183
8,1468.3738391404625,2638.4427213408326,8,608266.9102436805,285947.4176070582,2104623.928857435
14,2838.5790152971676,5460.9421329180705,10,515074.0336811751,655572.6888625709,2144089.481719482
23,2326.011838408627,2402.91132011651,3,171548.86495763971,771574.0893230883,1522072.7863287432
8,2219.9482168954178,5846.702176266149,6,743125.3655825226,642510.1690938921,2199048.8731456706
21,5865.052773762228,5090.713509613639,3,653059.2459868607,567920.1743342304,2645427.191083662
16,2965.488623333802,8213.929279308099,10,116115.82335134626,440975.500560177,1457478.422209971
13,5460.232775885566,4456.40508786455,3,555957.0476917722,115028.9088966377,2023249.799175479
18,4155.6931299863145,2819.469114993241,5,639872.6679638166,768628.0947529478,2196762.297246047
15,4974.056517708243,3000.941774369851,6,362104.75880429544,618794.3104592611,1685128.3134530918
21,3513.1854655259604,7330.574422022306,10,148245.07755705316,529212.0390006964,1595373.912547317
24,3884.5194231317955,6327.526443213827,8,154124.74584215108,619276.8841541373,1616774.76507251
13,3462.5884690943194,2707.8587328595318,9,172972.87623626663,593077.496954854,1495867.827122567
9,1976.2149389902224,2588.747642804982,10,688307.742386296,527923.6848421152,2387876.2401910713
15,4612.260576307526,6906.78392021384,4,737480.3387789992,785432.6001349911,2437944.191139354
13,2403.861812204279,2509.3410445493546,10,185967.54729201365,727522.8594770187,1452380.3458526013
1,1121.5798321572693,7753.0204150324935,5,265134.2242165569,534998.6893378726,1436552.3885177178
7,4227.361479535839,6943.695590095474,9,215864.35725710285,569881.4085926935,1721873.8747025188
9,1885.5533970352449,2569.4414644932986,5,230424.61564588448,88696.8549940325,1337245.1247862882
24,5702.2929217645715,2593.8639985963437,9,686243.5523017445,552438.0984125293,2510994.377568249
1,5769.642885012937,8906.477049508228,4,332502.48885845725,83124.07828257512,1773139.6783285423
12,5574.321951102243,4619.895570292842,8,318010.9848319488,491197.8177274483,1700893.4673075923
8,2850.7935012772223,4594.495029468237,5,259176.93461397884,799515.1246743761,1680876.263515464
24,1077.2830826443371,7689.596970802518,5,525526.0756559811,466854.93607788475,1817711.0826964003
11,5641.592812938627,8630.740041687011,11,365513.98886988417,404907.58856100007,2024182.3166872766
19,3140.9207415865717,8902.007446760097,9,620974.7562903021,284641.14237919066,2308019.808986584
17,5833.274095218348,7273.647296812592,7,243905.86586294626,140391.93408984834,1699971.6407106193
8,5818.099885446264,4633.81709871641,9,651452.9221001447,598267.7535937112,2216821.337465138
3,5265.0472773368,2584.5050168906814,11,522605.0722110973,194449.27083922282,1952031.5161968789
3,2472.2444603479285,7440.028411492058,3,179987.11003898142,136461.51593546328,1562139.899624598
1,2925.4886430096262,5908.829748150635,9,390153.20894253935,366321.99479788437,1932332.7699214497
5,5255.683357584285,4969.554064728834,8,704462.6984290698,646506.378469323,2519617.0032323496
10,2584.6100257813882,8344.480695663151,11,746072.1622589394,608798.4110901653,2707978.2447341457
7,1847.4637334304625,2778.3823761430594,3,425990.08562316926,91161.9609848562,1733780.8050642994
9,3784.006312291751,5448.375730036014,6,436585.8846623515,391357.76377711707,1830767.873939844
7,5680.773870803905,2079.4755133719336,11,742918.3074575108,441825.9320533767,2517396.562186906
9,4480.148983374866,5280.624493958883,6,510947.75689559703,533409.9879693666,1853151.9045391695
8,3850.305850446825,2394.1229297728614,5,122992.66917040685,537625.5128324211,1403811.109422799
12,1485.8824688538427,2831.7254138765034,11,738924.6240153902,323522.9370929794,2520725.992417891
2,4075.036133495849,2822.683727439734,4,273758.50993000634,470507.8955026355,1499221.7396660303
1,5950.269250521316,6544.472114812445,6,504342.36786408303,410796.4128830648,2145564.9163153237
16,1700.42007618262,7222.314154857963,8,215859.32219958166,713748.7673924608,1634609.834372472
23,3591.6482618186837,6083.581355680117,4,123715.41217261649,447698.8494761751,1367728.1190777016
23,5386.865359639777,8735.207839321793,10,318031.2197929302,380774.1213111212,1821769.815014611
24,4703.843088771022,4624.094056665928,10,646346.9952822614,353364.0872613881,2520982.754850811
5,4485.07870497634,3999.984603973025,3,294311.0208405927,479320.8195750993,1653542.877381952
3,4512.420419935546,8080.193897326222,5,254068.04985676793,652982.7345506732,1666670.7580899172
12,2797.455756098776,3565.1708696361684,11,248876.5490388584,453801.11778559064,1636509.7193134578
8,2467.959221322467,8742.557776084279,7,460621.5776847688,546241.3813104061,1971656.273334793
22,5046.805777392568,2085.0813228287143,8,782878.9209779294,603391.8251798938,2718281.828459045
3,5050.566973395904,8789.151786953473,6,421292.2916119091,440126.0824090489,2084701.1534575408
1,5335.361592900518,2302.119383654033,4,490113.7582230335,370112.7924911483,2027873.5820503773
3,5566.202762782356,8238.001795886497,10,702442.4125235138,707499.0333968371,2605943.807793878
5,3556.711994304689,5693.907763604098,8,474548.803253561,363129.5630209191,1922164.8338475442
15,3507.581473435998,8950.753572835103,7,229124.00999319926,396457.13793169067,1681420.0792963074
14,4991.475894833876,2516.575953147792,11,309717.13823653397,792755.9850063329,1889786.468246834
3,4249.819653888826,5876.9799908092455,3,316955.84838802763,50178.142681913436,1653837.7889102174
1,4509.834386288517,8785.117749333693,7,378122.6808203185,189104.68218254184,1963316.5056009463
5,4978.9633471805055,5661.684909191042,8,398752.2337357246,337972.9174397943,2105960.378629104
23,5450.0267090878315,6405.790466946838,7,659847.4154519886,749442.4320689397,2427635.0231947713
14,2689.975784257679,6870.2408228923205,8,344570.89933453314,102522.27931060328,1980988.9928362388
7,2877.9147631997203,5181.7874533744125,8,427762.2799089655,57114.075221373554,1941466.4402356786
9,1469.909699204345,6392.906560588444,9,537483.1909357365,89512.87698292144,1979725.5009790633
15,3891.4007049808697,6090.200183461702,6,364408.1632081185,116407.55796021361,1927105.276643691
15,1179.7113689837104,8308.106073436924,10,685595.369304633,78197.57990469565,2551359.187846494
10,3327.9900906623006,2318.1246623902052,9,511217.52296385204,409835.99514237855,1928986.9187409854
13,3713.223173537883,3966.7423271456123,11,305831.2754546801,485567.9054204958,1960963.5618783534
