customer,quarter,purchase,order_quantity,crossbuy,ret_expense,ret_expense_sq
1,1,1,285.46,1,0,0
1,2,1,363.88,1,0,0
1,3,1,305.86,1,16.2,262.44
1,4,1,260.63,1,0,0
1,5,0,0,0,0,0
1,6,0,0,0,36.77,1352.03
1,7,0,0,0,42.5,1806.25
1,8,0,0,0,0,0
1,9,0,0,0,0,0
1,10,0,0,0,38.27,1464.59
1,11,0,0,0,13.41,179.83
1,12,0,0,0,30.1,906.01
2,1,1,87.63,1,0,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,30.43,925.98
2,5,0,0,0,0,0
2,6,0,0,0,7.06,49.84
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,1,121.87,1,0,0
3,1,1,356.8,2,33.78,1141.09
3,2,0,0,0,0,0
3,3,0,0,0,0,0
3,4,0,0,0,5.87,34.46
3,5,0,0,0,0,0
3,6,1,137.55,4,20.74,430.15
3,7,0,0,0,44.86,2012.42
3,8,0,0,0,0,0
3,9,0,0,0,0,0
3,10,0,0,0,0,0
3,11,0,0,0,50.86,2586.74
3,12,0,0,0,0,0
4,1,1,189.58,1,0,0
4,2,1,170.17,1,0,0
4,3,1,223.97,4,49.32,2432.46
4,4,1,289.85,3,0,0
4,5,1,301.04,4,9.73,94.67
4,6,1,387.55,2,21.23,450.71
4,7,1,330.88,2,0,0
4,8,1,266.23,4,13.48,181.71
4,9,1,212.15,2,0,0
4,10,1,202.19,3,34.97,1222.9
4,11,1,151.32,1,42.5,1806.25
4,12,0,0,0,0,0
5,1,1,226.79,4,27.65,764.52
5,2,1,246.17,1,0,0
5,3,1,179.67,2,0,0
5,4,1,304.01,2,0,0
5,5,1,257.96,2,13.97,195.16
5,6,1,395.35,5,0,0
5,7,1,327.98,4,0,0
5,8,1,438.15,2,0,0
5,9,1,248.8,1,0,0
5,10,1,324.17,3,48.24,2327.1
5,11,1,263.43,5,0,0
5,12,1,245.5,4,0,0
6,1,1,243.49,1,0,0
6,2,1,310.22,4,0,0
6,3,1,207.27,4,0,0
6,4,1,236.93,2,0,0
6,5,1,294.79,3,44.27,1959.83
6,6,1,277.93,2,32.59,1062.11
6,7,1,226.84,1,21.84,476.99
6,8,1,355.58,5,24.85,617.52
6,9,1,277.08,3,9.68,93.7
6,10,1,211.01,3,0,0
6,11,1,327.22,2,2.03,4.12
6,12,1,421.65,4,0,0
7,1,1,99.5,1,6.83,46.65
7,2,0,0,0,53.42,2853.7
7,3,0,0,0,0,0
7,4,0,0,0,0,0
7,5,0,0,0,0,0
7,6,0,0,0,32.08,1029.13
7,7,0,0,0,0,0
7,8,0,0,0,0,0
7,9,0,0,0,0,0
7,10,0,0,0,47.66,2271.48
7,11,0,0,0,0,0
7,12,0,0,0,0,0
8,1,1,151.52,4,0,0
8,2,0,0,0,19.67,386.91
8,3,1,55.97,1,29.59,875.57
8,4,0,0,0,0,0
8,5,0,0,0,0,0
8,6,0,0,0,0,0
8,7,0,0,0,39.16,1533.51
8,8,0,0,0,0,0
8,9,0,0,0,40.65,1652.42
8,10,0,0,0,0,0
8,11,0,0,0,0,0
8,12,0,0,0,0,0
9,1,1,300.61,2,0,0
9,2,1,409.04,3,0,0
9,3,1,210.86,1,0,0
9,4,0,0,0,0,0
9,5,0,0,0,0,0
9,6,0,0,0,0,0
9,7,0,0,0,0,0
9,8,0,0,0,42.19,1780
9,9,0,0,0,0,0
9,10,0,0,0,40.12,1609.61
9,11,0,0,0,43.13,1860.2
9,12,0,0,0,0,0
10,1,1,202.56,1,24.19,585.16
10,2,1,234.78,1,0,0
10,3,1,355.47,2,26.27,690.11
10,4,1,210.75,1,50.37,2537.14
10,5,1,231.36,1,0,0
10,6,1,199.1,3,41.32,1707.34
10,7,1,259.73,1,24.24,587.58
10,8,1,277.79,2,0,0
10,9,1,226.11,1,0,0
10,10,1,213.61,1,6.83,46.65
10,11,0,0,0,0,0
10,12,0,0,0,0,0
11,1,1,138.68,1,10.03,100.6
11,2,1,195.29,1,0,0
11,3,1,223.1,1,41.07,1686.74
11,4,1,257.63,1,43.25,1870.56
11,5,1,227.28,1,0,0
11,6,1,355.99,1,0,0
11,7,1,465.35,2,8.76,76.74
11,8,1,440.88,4,29.62,877.34
11,9,1,272.45,1,0,0
11,10,1,230.23,1,0,0
11,11,1,268.44,1,28.78,828.29
11,12,0,0,0,42.93,1842.98
12,1,1,128.15,1,44.01,1936.88
12,2,1,152.88,1,0,0
12,3,1,176.2,1,20.99,440.58
12,4,1,172.01,1,52.48,2754.15
12,5,1,206.16,1,0,0
12,6,0,0,0,0,0
12,7,0,0,0,0,0
12,8,0,0,0,0,0
12,9,0,0,0,31.9,1017.61
12,10,0,0,0,0,0
12,11,0,0,0,0,0
12,12,0,0,0,10.29,105.88
13,1,1,207.44,1,8.74,76.39
13,2,1,229.66,1,0,0
13,3,1,305.24,4,0,0
13,4,1,234.77,1,7.12,50.69
13,5,1,329.94,2,16.47,271.26
13,6,1,258.95,1,23.57,555.54
13,7,1,395.69,2,0,0
13,8,1,323.99,4,0,0
13,9,1,249.92,3,0,0
13,10,1,196.63,1,15.27,233.17
13,11,1,206.36,1,0,0
13,12,1,144.37,1,0,0
14,1,1,216.4,5,0,0
14,2,1,258.19,4,0,0
14,3,1,240.57,3,0,0
14,4,1,192.53,1,0,0
14,5,1,272.18,4,41.88,1753.93
14,6,1,354.94,5,0,0
14,7,1,276.17,2,0,0
14,8,1,167.19,1,0,0
14,9,1,231.12,5,17.63,310.82
14,10,1,192.45,1,51.77,2680.13
14,11,1,141.61,1,0,0
14,12,0,0,0,42.28,1787.6
15,1,1,282.3,1,0,0
15,2,1,248.51,1,0,0
15,3,0,0,0,50.64,2564.41
15,4,0,0,0,56.02,3138.24
15,5,0,0,0,0,0
15,6,0,0,0,30.14,908.42
15,7,0,0,0,30.65,939.42
15,8,0,0,0,17.65,311.52
15,9,0,0,0,0,0
15,10,0,0,0,13.07,170.82
15,11,0,0,0,0,0
15,12,0,0,0,0,0
16,1,1,115.64,1,0,0
16,2,0,0,0,20.16,406.43
16,3,0,0,0,0,0
16,4,0,0,0,45.17,2040.33
16,5,0,0,0,0,0
16,6,0,0,0,16.4,268.96
16,7,1,122.91,1,34.43,1185.42
16,8,0,0,0,0,0
16,9,0,0,0,35.72,1275.92
16,10,0,0,0,0,0
16,11,0,0,0,51.36,2637.85
16,12,0,0,0,45.6,2079.36
17,1,1,150.3,1,32.36,1047.17
17,2,0,0,0,0,0
17,3,0,0,0,0,0
17,4,0,0,0,0,0
17,5,0,0,0,0,0
17,6,0,0,0,35.02,1226.4
17,7,0,0,0,0,0
17,8,0,0,0,47.39,2245.81
17,9,0,0,0,38.39,1473.79
17,10,0,0,0,0,0
17,11,0,0,0,32.07,1028.48
17,12,0,0,0,0,0
18,1,1,204.74,4,0,0
18,2,0,0,0,31.78,1009.97
18,3,0,0,0,0,0
18,4,0,0,0,45.52,2072.07
18,5,0,0,0,10.34,106.92
18,6,0,0,0,0,0
18,7,0,0,0,51.34,2635.8
18,8,0,0,0,0,0
18,9,0,0,0,0,0
18,10,0,0,0,0,0
18,11,0,0,0,54.99,3023.9
18,12,0,0,0,20.24,409.66
19,1,1,193.66,1,0,0
19,2,0,0,0,0,0
19,3,1,103.67,1,0,0
19,4,1,188.9,1,0,0
19,5,0,0,0,0,0
19,6,0,0,0,0,0
19,7,0,0,0,28.81,830.02
19,8,0,0,0,0,0
19,9,0,0,0,45.99,2115.08
